iter	Passed	Remaining
446	1167	1444
447	1170	1442
448	1173	1440
449	1176	1438
450	1179	1436
451	1182	1433
452	1185	1431
453	1188	1429
454	1191	1426
455	1193	1424
456	1196	1421
457	1198	1418
458	1201	1415
459	1203	1413
460	1206	1410
461	1209	1408
462	1212	1405
463	1214	1403
464	1221	1404
465	1227	1407
466	1234	1409
467	1240	1410
468	1244	1409
469	1248	1407
470	1253	1407
471	1255	1404
472	1258	1402
473	1263	1402
474	1267	1401
475	1270	1398
476	1272	1395
477	1275	1392
478	1277	1389
479	1280	1387
480	1283	1384
481	1285	1381
482	1288	1379
483	1290	1376
484	1293	1373
485	1295	1370
486	1298	1367
487	1300	1364
488	1303	1361
489	1305	1358
490	1308	1356
491	1310	1353
492	1313	1350
493	1315	1347
494	1317	1344
495	1320	1341
496	1322	1338
497	1325	1336
498	1327	1333
499	1330	1330
500	1332	1327
501	1335	1324
502	1337	1321
503	1339	1318
504	1342	1316
505	1344	1313
506	1347	1310
507	1350	1307
508	1352	1304
509	1355	1302
510	1358	1300
511	1361	1297
512	1363	1294
513	1366	1291
514	1368	1289
515	1371	1286
516	1374	1283
517	1376	1281
518	1379	1278
519	1382	1276
520	1385	1273
521	1388	1271
522	1390	1268
523	1393	1265
524	1396	1263
525	1398	1260
526	1401	1257
527	1403	1254
528	1406	1252
529	1409	1249
530	1411	1246
531	1414	1244
532	1417	1241
533	1419	1238
534	1422	1236
535	1425	1233
536	1427	1231
537	1430	1228
538	1433	1225
539	1435	1223
540	1438	1220
541	1440	1217
542	1443	1214
543	1446	1212
544	1448	1209
545	1451	1206
546	1453	1203
547	1456	1200
548	1458	1198
549	1461	1196
550	1464	1193
551	1466	1190
552	1468	1187
553	1471	1184
554	1474	1181
555	1476	1179
556	1478	1176
557	1481	1173
558	1484	1171
559	1487	1168
560	1490	1166
561	1492	1163
562	1495	1160
563	1498	1158
564	1500	1155
565	1503	1152
566	1505	1149
567	1508	1146
568	1510	1144
569	1513	1141
570	1516	1139
571	1518	1136
572	1521	1133
573	1523	1130
574	1526	1128
575	1528	1125
576	1531	1122
577	1533	1119
578	1536	1117
579	1538	1114
580	1541	1111
581	1543	1108
582	1546	1105
583	1548	1102
584	1550	1099
585	1552	1096
586	1554	1093
587	1556	1090
588	1559	1087
589	1561	1085
590	1564	1082
591	1566	1079
592	1569	1076
593	1571	1074
594	1574	1071
595	1576	1068
596	1579	1066
597	1581	1063
598	1584	1060
599	1586	1057
600	1589	1054
601	1591	1051
602	1593	1049
603	1595	1046
604	1598	1043
605	1600	1040
606	1602	1037
607	1605	1035
608	1607	1032
609	1610	1029
610	1612	1026
611	1615	1023
612	1617	1021
613	1619	1018
614	1622	1015
615	1624	1012
616	1626	1009
617	1629	1007
618	1631	1004
619	1634	1001
620	1636	999
621	1639	996
622	1641	993
623	1644	990
624	1646	987
625	1648	985
626	1651	982
627	1653	979
628	1656	976
629	1658	973
630	1660	971
631	1663	968
632	1665	965
633	1667	962
634	1670	960
635	1673	957
636	1676	955
637	1678	952
638	1681	949
639	1683	947
640	1686	944
641	1688	941
642	1691	939
643	1694	936
644	1696	933
645	1699	931
646	1701	928
647	1704	925
648	1706	923
649	1709	920
650	1711	917
651	1714	915
652	1717	912
653	1719	909
654	1722	907
655	1725	904
656	1728	902
657	1730	899
658	1733	896
659	1735	894
660	1737	891
661	1740	888
662	1742	885
663	1745	883
664	1748	880
665	1750	877
666	1753	875
667	1755	872
668	1758	870
669	1761	867
670	1763	864
671	1765	861
672	1768	859
673	1770	856
674	1773	853
675	1776	851
676	1778	848
677	1781	845
678	1783	843
679	1785	840
680	1788	837
681	1790	834
682	1793	832
683	1795	829
684	1798	826
685	1801	824
686	1803	821
687	1805	818
688	1808	816
689	1810	813
690	1813	811
691	1816	808
692	1818	805
693	1821	802
694	1823	800
695	1825	797
696	1828	794
697	1831	792
698	1833	789
699	1836	786
700	1838	784
701	1841	781
702	1843	779
703	1846	776
704	1848	773
705	1850	770
706	1853	768
707	1856	765
708	1858	762
709	1860	760
710	1862	757
711	1865	754
712	1868	751
713	1870	749
714	1872	746
715	1875	743
716	1877	741
717	1879	738
718	1882	735
719	1884	733
720	1887	730
721	1890	727
722	1892	725
723	1895	722
724	1897	719
725	1899	717
726	1902	714
727	1904	711
728	1907	709
729	1909	706
730	1912	703
731	1914	701
732	1917	698
733	1919	695
734	1922	693
735	1924	690
736	1927	687
737	1929	685
738	1932	682
739	1934	679
740	1936	676
741	1939	674
742	1941	671
743	1943	668
744	1946	666
745	1948	663
746	1951	660
747	1954	658
748	1956	655
749	1959	653
750	1961	650
751	1964	647
752	1967	645
753	1970	642
754	1972	640
755	1975	637
756	1977	634
757	1980	632
758	1983	629
759	1986	627
760	1988	624
761	1991	621
762	1993	619
763	1996	616
764	1999	614
765	2001	611
766	2004	608
767	2007	606
768	2009	603
769	2012	601
770	2015	598
771	2017	595
772	2020	593
773	2023	590
774	2026	588
775	2029	585
776	2031	583
777	2034	580
778	2036	577
779	2039	575
780	2042	572
781	2044	570
782	2048	567
783	2050	565
784	2053	562
785	2055	559
786	2058	557
787	2061	554
788	2063	551
789	2066	549
790	2068	546
791	2071	544
792	2073	541
793	2076	538
794	2079	536
795	2082	533
796	2084	530
797	2087	528
798	2089	525
799	2092	523
800	2095	520
801	2098	518
802	2100	515
803	2103	512
804	2105	510
805	2108	507
806	2110	504
807	2113	502
808	2115	499
809	2118	496
810	2120	494
811	2123	491
812	2125	489
813	2128	486
814	2131	483
815	2133	481
816	2135	478
817	2138	475
818	2140	473
819	2143	470
820	2145	467
821	2147	465
822	2150	462
823	2152	459
824	2155	457
825	2157	454
826	2159	451
827	2162	449
828	2165	446
829	2167	443
830	2170	441
831	2173	438
832	2175	436
833	2178	433
834	2180	430
835	2183	428
836	2186	425
837	2188	423
838	2190	420
839	2193	417
840	2195	415
841	2198	412
842	2200	409
843	2202	407
844	2205	404
845	2207	401
846	2209	399
847	2212	396
848	2214	393
849	2217	391
850	2219	388
851	2221	385
852	2224	383
853	2227	380
854	2229	378
855	2232	375
856	2234	372
857	2236	370
858	2239	367
859	2241	364
860	2243	362
861	2246	359
862	2248	356
863	2250	354
864	2253	351
865	2255	349
866	2258	346
867	2260	343
868	2262	341
869	2265	338
870	2267	335
871	2270	333
872	2272	330
873	2274	327
874	2277	325
875	2279	322
876	2281	320
877	2284	317
878	2286	314
879	2289	312
880	2291	309
881	2294	306
882	2296	304
883	2298	301
884	2301	299
885	2303	296
886	2306	293
887	2308	291
888	2310	288
889	2313	285
890	2315	283
891	2317	280
892	2320	278
893	2322	275
894	2325	272
895	2328	270
896	2330	267
897	2332	264
898	2335	262
899	2337	259
900	2340	257
901	2342	254
902	2344	251
903	2347	249
904	2349	246
905	2352	244
906	2354	241
907	2356	238
908	2359	236
909	2361	233
910	2364	230
911	2366	228
912	2368	225
913	2370	223
914	2373	220
915	2375	217
916	2378	215
917	2380	212
918	2382	210
919	2385	207
920	2387	204
921	2390	202
922	2392	199
923	2395	197
924	2397	194
925	2400	191
926	2402	189
927	2405	186
928	2407	184
929	2409	181
930	2412	178
931	2414	176
932	2417	173
933	2419	170
934	2421	168
935	2424	165
936	2427	163
937	2429	160
938	2432	158
939	2434	155
940	2437	152
941	2439	150
942	2442	147
943	2444	145
944	2446	142
945	2449	139
946	2451	137
947	2454	134
948	2456	132
949	2459	129
950	2461	126
951	2463	124
952	2465	121
953	2468	119
954	2470	116
955	2472	113
956	2475	111
957	2477	108
958	2479	106
959	2482	103
960	2484	100
961	2486	98
962	2489	95
963	2491	93
964	2494	90
965	2496	87
966	2498	85
967	2501	82
968	2503	80
969	2505	77
970	2508	74
971	2510	72
972	2513	69
973	2516	67
974	2519	64
975	2521	62
976	2524	59
977	2526	56
978	2529	54
979	2532	51
980	2534	49
981	2537	46
982	2540	43
983	2542	41
984	2545	38
985	2547	36
986	2550	33
987	2552	31
988	2555	28
989	2558	25
990	2561	23
991	2565	20
992	2568	18
993	2572	15
994	2575	12
995	2579	10
996	2582	7
997	2585	5
998	2588	2
999	2592	0
