scaler,reg_param,cv_f1_mean,cv_f1_std,cv_acc_mean,success_folds,failed_folds
none,0.0,0.8804923430477244,0.003353628209384071,0.8814825404931161,5,0
standard,0.0,0.8804923430477244,0.003353628209384071,0.8814825404931161,5,0
robust,0.0,0.8804923430477244,0.003353628209384071,0.8814825404931161,5,0
minmax,0.0,0.8804923430477244,0.003353628209384071,0.8814825404931161,5,0
maxabs,0.0,0.8804923430477244,0.003353628209384071,0.8814825404931161,5,0
robust,0.0001,0.878841607035711,0.0033526507900015585,0.8790392837709513,5,0
robust,0.000325,0.871982556288238,0.003463855488268709,0.8712488010412175,5,0
power_yeo,0.0,0.8707112206984341,0.003944081919571419,0.8719404596032575,5,0
power_yeo,0.0,0.8707112206984341,0.003944081919571419,0.8719404596032575,5,0
robust,0.00055,0.8677113072872615,0.003113297358777232,0.8664085192987869,5,0
robust,0.0007750000000000001,0.8649988228191005,0.0036416440259963673,0.8634121291117234,5,0
robust,0.001,0.8631925752794883,0.00323625830804468,0.8612915911323963,5,0
robust,0.001,0.8631925752794883,0.00323625830804468,0.8612915911323963,5,0
power_yeo,0.0001,0.8545636918257232,0.0026359120325774384,0.8523485247666871,5,0
power_yeo,0.0001,0.8545636918257232,0.0026359120325774384,0.8523485247666871,5,0
standard,0.0001,0.850481185001642,0.002019748209358334,0.8477388171293396,5,0
robust,0.0032500000000000003,0.8498743313695986,0.002371626966902575,0.8464019973455288,5,0
robust,0.0055000000000000005,0.8424802200310768,0.000936360805425064,0.8386115358668647,5,0
robust,0.007750000000000001,0.8362187760778157,0.000833700026914384,0.8318351010504298,5,0
power_yeo,0.000325,0.8335976392114333,0.003130836698852435,0.8304982175134101,5,0
power_yeo,0.000325,0.8335976392114333,0.003130836698852435,0.8304982175134101,5,0
robust,0.01,0.8313615841799503,0.0016247230066883363,0.8266720899396267,5,0
robust,0.01,0.8313615841799503,0.0016247230066883363,0.8266720899396267,5,0
standard,0.000325,0.8255639433108547,0.002548821854482526,0.8211864557157991,5,0
power_yeo,0.00055,0.8251904133267598,0.0032907391713212063,0.8215092275863108,5,0
power_yeo,0.00055,0.8251904133267598,0.0032907391713212063,0.8215092275863108,5,0
quantile_normal,0.000325,0.8218801919281746,0.004924573878365286,0.8214629427567376,5,0
quantile_normal,0.00055,0.8206712048295397,0.004768466344028402,0.8194807598659949,5,0
quantile_normal,0.0001,0.8205143515628865,0.004881298494015323,0.8211405002778045,5,0
quantile_normal,0.0007750000000000001,0.8194363028379076,0.004520123578087863,0.8177751702715387,5,0
quantile_normal,0.001,0.8188113020281669,0.0044529130065700424,0.816945422259284,5,0
quantile_normal,0.001,0.8188113020281669,0.0044529130065700424,0.816945422259284,5,0
power_yeo,0.0007750000000000001,0.8184545139867732,0.0035393834615114203,0.8143179612658878,5,0
power_yeo,0.0007750000000000001,0.8184545139867732,0.0035393834615114203,0.8143179612658878,5,0
quantile_normal,0.0,0.8176269009260319,0.004004705535990601,0.8193888489900056,5,0
robust,0.02,0.8165444965286422,0.0024884740931437974,0.8106301994062237,5,0
standard,0.00055,0.8134390321587599,0.0034207856778998556,0.8081409872460643,5,0
power_yeo,0.001,0.8129545319815685,0.00386077486622963,0.8083253083981783,5,0
power_yeo,0.001,0.8129545319815685,0.00386077486622963,0.8083253083981783,5,0
power_yeo,0.001,0.8129545319815685,0.00386077486622963,0.8083253083981783,5,0
power_yeo,0.001,0.8129545319815685,0.00386077486622963,0.8083253083981783,5,0
quantile_normal,0.0032500000000000003,0.8119886078311206,0.0031523994310841564,0.8081869533095938,5,0
quantile_normal,0.0055000000000000005,0.8060492187638232,0.002290958541461718,0.8016410288450331,5,0
robust,0.03,0.80587855226836,0.002361875410960362,0.7989674955327596,5,0
standard,0.0007750000000000001,0.805163124157502,0.0027994165379535032,0.799428452483299,5,0
none,0.0001,0.8038828339331807,0.002765363028006756,0.7963859049730797,5,0
quantile_normal,0.007750000000000001,0.8010573920146665,0.002079393632462147,0.7963858199688012,5,0
standard,0.001,0.7989182094447557,0.002516165530475092,0.7925138113357667,5,0
standard,0.001,0.7989182094447557,0.002516165530475092,0.7925138113357667,5,0
robust,0.04,0.7984760726401631,0.0020881436910377173,0.7911308023521958,5,0
quantile_normal,0.01,0.7968010412350546,0.0024916677151546967,0.7919604547346373,5,0
quantile_normal,0.01,0.7968010412350546,0.0024916677151546967,0.7919604547346373,5,0
robust,0.05,0.7919192492466398,0.00247111152517681,0.7841699826304382,5,0
robust,0.05,0.7919192492466398,0.00247111152517681,0.7841699826304382,5,0
quantile_uniform,0.0001,0.7910507491345294,0.0027041840098469636,0.7882268011901874,5,0
quantile_uniform,0.0,0.7890024235239169,0.005278784576231808,0.7890568254663467,5,0
quantile_normal,0.02,0.7838335644822602,0.002181046283182735,0.7789150181415068,5,0
none,0.000325,0.7833442298547876,0.003736686580019649,0.775596142973371,5,0
power_yeo,0.0032500000000000003,0.782546122944875,0.0028323271571033238,0.7754577347571124,5,0
